p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p051,p052,p053,p054,p055,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074
9.92307692307692,3.4119,10.53,-4.5,,,2.575409,,2.11,-2.3958333333333304,-0.41,6.39,,,0.5279720279720279,0.098,4.1669,,,-1.7370864770748702,17.49,2.0,-3.3273,,16.68,8.93,,,1.665,,-2.7 ,,3.72,,,6.311071,5.21,1.08888888888889,,,1.062,,,-0.0083,,0.26,12.11,5.27,1.6259,0.03,27.9,6.26373626373626,0.27,7.88,0.9171,34.5,,6.64,,,26.12,9.05,1.24,20.25,1.9,0.51,6.49,3.6458015267175603,-2.0347749532298898,-1.52,
41.2666666666667,12.49,-3.47,8.17,,,3.721789,,11.11,-0.0253389642142698,1.031,6.18,,,5.315985130111519,1.446,-0.7315,,,-3.6666666666666696,20.86,13.8219178082192,-6.2401,,2.88,7.36,,,3.9930000000000003,,-4.3 ,,-2.85,,,1.322309,6.54,1.32727272727273,,,-0.063,,,0.8079,,-1.77,2.05,5.52,2.0964,1.2,41.1,1.33333333333333,6.19,-0.114,0.9766,28.999999999999996,,0.69,,,-0.9420000000000001,6.34,1.21,10.833333333333302,9.57,1.22,2.82,1.0,2.1087470449172603,2.76,
123.166666666667,2.7721,-3.47,14.99,,,1.0258450000000001,,11.86,-657.4,-0.14,5.63,,,0.22700421940928303,0.637,0.5351,,,-2.25,0.41,16.074074074074097,27.4513,,3.42,4.15,,,-1.163,,11.7 ,,-8.4,,,-0.6344569999999999,5.94,0.647058823529412,,,2.9760000000000004,,,2.1493,,2.45,14.86,1.33,2.4474,-0.06,17.7,1.45539906103286,7.41,-2.0,1.8241,10.857142857142902,,1.51,,,8.669,14.08,1.01,10.5714285714286,-9.93,1.84,-0.49,1.24480673152774,3.0375699440447597,-3.79,
14.044117647058801,-0.5766,-2.81,3.76,,,1.6658439999999999,,-0.35,-1.36872528141162,0.278,6.58,,,4.42990654205607,1.558,-3.1877,,,4.0,0.19,4.071428571428569,11.117,,-7.40,5.86,,,10.122,,-2.4 ,,-3.98,,,9.245902000000001,6.08,2.125,,,-4.47,,,2.0489,,-4.67,0.73,1.48,0.9608,-1.82,180.0,0.67953667953668,2.17,1.41,6.6634,7.36363636363636,,0.9,,,37.005,2.88,8.53,16.75,-5.17,4.19,2.98,0.435176560250656,-2.0162100456621,-12.17,
19.111111111111104,3.0282,-3.4,2.53,,,7.476736,,1.99,-0.0114155251141553,-4.479,6.42,,,1.20767494356659,2.64,2.0669,,,1.52941176470588,10.62,1.72727272727273,22.6167,,-5.36,4.24,,,4.949,,2.6 ,,-5.95,,,0.988901,5.29,1.88461538461538,,,0.8340000000000001,,,0.3777,,-1.87,-1.35,2.1,0.4728,1.26,42.1,2.03414634146341,2.21,-1.36,6.1175,9.999999999999998,,1.31,,,-8.217,-4.04,2.07,14.000000000000002,-3.7,1.93,11.1,2.03813629580501,-2.22772277227723,-1.7,
8.368421052631579,-1.4109,1.96,-3.55,,,2.422631,,6.66,-0.528846153846154,2.972,6.59,,,0.504555808656036,2.813,0.7217,,,10.5,15.37,81.5833333333333,-4.4318,,3.54 ,7.59,,,5.337999999999999,,1.5 ,,-0.28,,,-1.093915,5.39,1.41509433962264,,,-0.287,,,0.1835,,-1.45,30.22,1.21,2.0272,1.23,4.2,1.4683544303797502,1.25,-0.66,6.6634,10.7142857142857,,3.05,,,1.338,-3.75,2.06,13.6,8.95,1.44,1.86,1.32356121590773,2.2980661119856096,9.11,
35.3333333333333,0.9539,2.3,2.5,,,-4.701261,,,0.278723404255319,-0.249,7.24,,,-9.44086021505376,-3.5269999999999997,,,,-2.25,-1.77,1.375,2.254,,6.44,-4.88,,,-2.49,,2.8 ,,8.28,,,5.320382,5.13,1.05747126436782,,,4.309,,,,,-1.47,1.83,2.81,1.6298,-2.41,9.1,0.923076923076923,0.93,-0.31,6.1175,13.25,,0.79,,,-12.4,3.07,3.57,20.75,8.57,0.49,7.03,1.16171688705831,2.73644086255718,-1.27,
20.1463414634146,2.8021,-1.09,,,,,,,-1.06153846153846,-2.025,-1.26,,,-0.10310421286031,0.6,,,,6.0571428571428605,-0.45,2.28571428571429,3.4696,,22.99 ,-7.49,,,6.492000000000001,,6.2 ,,0.84,,,4.15985,5.51,2.23529411764706,,,0.7020000000000001,,,,,-0.08,0.89,1.02,0.9233,2.37,48.0,1.2433460076045602,1.28,2.34,-0.7753,10.3333333333333,,0.77,,,1.227,0.87,0.16,,-1.36,0.6,65.4,-3.3040103492884905,-1.97074414547407,4.86,
11.6333333333333,12.544,-1.28,,,,,,,-3.40579710144927,2.675,-1.72,,,-2.06880733944954,-2.372,,,,9.63265306122449,0.55,1.4,4.1924,,23.07,2.57,,,0.21100000000000002,,-21.0 ,,5.27,,,-1.43055,4.68,2.77777777777778,,,-0.037000000000000005,,,,,0.84,11.82,3.18,0.7737,3.32,20.8,1.8220064724919098,1.53,0.83,-1.0919,20.0,,-0.39,,,1.167,1.19,18.97,,0.94,1.8,10.7,1.78492462311558,-1.98868155399205,3.88,
6.5,2.5173,4.97,,,,,,,-0.6632653061224489,-1.954,-1.25,,,-1.18157181571816,-0.019,,,,4.15789473684211,0.1,14.8374384236453,28.259,,11.90 ,2.15,,,4.022,,0.8 ,,4.6,,,8.295738,6.32,1.18518518518519,,,10.692,,,,,105.31,-0.28,2.45,29.0254,0.23,52.2,0.7,4.03,4.28,30.715,2.76470588235294,,0.49,,,1.126,-0.72,2.26,,1.9469999999999998,0.19,11.3,1.58549222797927,2.2536202735317796,-7.31,
