p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p051,p052,p053,p054,p055,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074
0.502,,,,,,,,,0.615,,0.58,,,,,,,,,,,,0.67,0.19899999999999998,,,0.54,,,-0.17 ,0.84,,,,,,,,,,0.26899999999999996,1.86,,0.9287,0.64,,,,,0.76,0.327,,,,,,,,,,,,0.81,,,0.0283,0.405,0.14,,
0.49200000000000005,,,,,,,,,0.78,,0.68,,,,,,,,,,,,0.45,0.305,,,0.67,,,0.28 ,0.6,,,,,,,,,,0.278,3.15,,1.105,0.62,,,,,0.58,0.563,,,,,,,,,,,,0.65,,,0.5,0.32899999999999996,0.48,,
0.604,,,,,,,,,0.534,,0.53,,,,,,,,,,,,0.11,0.366,,,0.59,,,0.34 ,0.7,,,,,,,,,,0.299,3.23,,0.9541,0.58,,,,,0.59,0.063,,,,,,,,,,,,0.74,,,0.5589999999999999,0.305,0.23,,
0.494,,,,,,,,,0.59,,0.51,,,,,,,,,,,,-0.07,0.515,,,0.59,,,0.13 ,0.73,,,,,,,,,,0.321,2.96,,1.1121,0.66,,,,,0.72,0.574,,,,,,,,,,,,0.67,,,0.35600000000000004,,0.18,,
0.858,,,,,,,,,0.514,,,,,,,,,,,,,,0.82,0.467,,,0.41,,,0.29 ,0.73,,,,,,,,,,0.34299999999999997,1.4,,1.1115,0.69,,,,,36.9,0.307,,,,,,,,,,,,0.56,,,0.0316,,0.26,,
0.7190000000000001,,,,,,,,,0.557,,,,,,,,,,,,,,0.8,0.11,,,0.99,,,0.20 ,0.76,,,,,,,,,,0.33799999999999997,5.03,,1.209,,,,,,50.7,0.746,,,,,,,,,,,,0.68,,,0.013,,0.36,,
0.785,,,,,,,,,0.6609999999999999,,,,,,,,,,,,,,0.61,0.114,,,0.75,,,0.34 ,-0.02,,,,,,,,,,0.376,,,0.6294,,,,,,75.0,0.018000000000000002,,,,,,,,,,,,0.83,,,0.1079,,0.06,,
0.8959999999999999,,,,,,,,,0.534,,,,,,,,,,,,,,0.47,0.009000000000000001,,,0.94,,,0.29 ,0.86,,,,,,,,,,0.402,,,0.8641,,,,,,58.5,0.096,,,,,,,,,,,,0.83,,,0.2687,,0.38,,
1.02,,,,,,,,,0.509,,,,,,,,,,,,,,-0.04,0.32299999999999995,,,0.41,,,0.35 ,0.41,,,,,,,,,,0.42700000000000005,,,0.6202,,,,,,41.9,0.032,,,,,,,,,,,,0.76,,,,,-0.08,,
0.623,,,,,,,,,0.561,,,,,,,,,,,,,,0.79,0.5870000000000001,,,0.8,,,-0.09 ,0.53,,,,,,,,,,0.449,,,1.0564,,,,,,15.3,0.14800000000000002,,,,,,,,,,,,0.67,,,,,0.28,,
