p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074
nan,0.6943,nan,0.012,nan,nan,0.0,0.0,1e-05,nan,0.006,0.0,0.009000000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03,nan,0.360 ,0.0,nan,nan,0.0,0 ,0.085,nan,nan,0.0,0.0,nan,nan,0.000 ,nan,0.04,0.243,0.024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002,nan,0.04,nan,nan,0.0,nan,nan,nan,nan
nan,0.0001,nan,0.038,nan,nan,nan,0.0,0.00303,nan,0.5529999999999999,0.02,0.004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.37,nan,0.491 ,0.0,nan,nan,0.0,0 ,0.0,nan,nan,0.23199999999999998,0.0001,nan,nan,0.555 ,nan,0.129,0.157,0.22699999999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.384,nan,0.01,nan,nan,0.0,nan,nan,nan,nan
nan,0.0,nan,0.033,nan,nan,nan,0.0,1e-05,nan,0.006,0.01,0.423,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0085,nan,0.000 ,0.0,nan,nan,0.011000000000000001,0 ,0.0,nan,nan,0.0,0.1582,nan,nan,0.190 ,nan,0.778,0.081,0.009000000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23600000000000002,nan,0.01,nan,nan,0.0,nan,nan,nan,nan
nan,0.0104,nan,0.022000000000000002,nan,nan,nan,0.0,1e-05,nan,0.005,0.02,0.085,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08,nan,0.540 ,0.0,nan,nan,0.001,0 ,0.0,nan,nan,0.0,0.0,nan,nan,0.092 ,nan,0.0,0.29600000000000004,0.96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.47200000000000003,nan,0.02,nan,nan,0.0,nan,nan,nan,nan
nan,0.2123,nan,0.052000000000000005,nan,nan,nan,0.0,1e-05,nan,0.40399999999999997,0.03,0.72,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1057,nan,0.068 ,0.0,nan,nan,0.8809999999999999,nan,0.001,nan,nan,0.0,0.0032,nan,nan,0.000 ,nan,0.11800000000000001,0.375,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.53,nan,nan,nan,nan,nan,nan,nan
nan,0.0008,nan,0.039,nan,nan,nan,0.348,1e-05,nan,0.0,0.01,0.8270000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.52,nan,0.001 ,0.0,nan,nan,0.0,nan,0.0,nan,nan,0.0,0.4749,nan,nan,0.008 ,nan,0.001,0.204,0.009000000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.24,nan,nan,nan,nan,nan,nan,nan
nan,0.4875,nan,0.055,nan,nan,nan,0.0,1e-05,nan,0.0,0.02,0.8270000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0294,nan,0.966 ,0.0,nan,nan,0.0,nan,0.0,nan,nan,0.0,nan,nan,nan,0.000 ,nan,0.161,0.032,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.11,nan,nan,nan,nan,nan,nan,nan
nan,0.3407,nan,0.08,nan,nan,nan,0.001,nan,nan,0.0,0.02,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.47,nan,nan,0.0,nan,nan,0.0,nan,0.0,nan,nan,0.585,nan,nan,nan,0.002 ,nan,0.002,0.162,0.026000000000000002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.2,nan,nan,nan,nan,nan,nan,nan
nan,0.0053,nan,0.073,nan,nan,nan,0.0,nan,nan,0.0,0.02,0.017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.16,nan,nan,0.011000000000000001,nan,nan,0.011000000000000001,nan,0.0,nan,nan,0.0,nan,nan,nan,0.866 ,nan,0.807,0.026000000000000002,0.001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.03,nan,nan,nan,nan,nan,nan,nan
nan,0.0,nan,0.049,nan,nan,nan,0.032,nan,nan,0.0,0.02,0.711,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.032,nan,nan,0.903,nan,0.003,nan,nan,0.0,nan,nan,nan,0.382 ,nan,0.113,0.063,0.381,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.18,nan,nan,nan,nan,nan,nan,nan
nan,0.0122,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.01,0.7040000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.083,nan,nan,0.012,nan,0.0,nan,nan,0.0,nan,nan,nan,0.161 ,nan,0.0,0.027999999999999997,0.10800000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan
nan,0.0784,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.02,0.11800000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.43,nan,nan,0.037000000000000005,nan,nan,0.0,nan,0.0,nan,nan,0.0,nan,nan,nan,0.730 ,nan,0.048,0.059000000000000004,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan
nan,0.0104,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.03,0.894,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.27,nan,nan,0.001,nan,nan,0.0,nan,0.0,nan,nan,0.0,nan,nan,nan,0.000 ,nan,0.225,0.457,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.03,nan,nan,nan,nan,nan,nan,nan
nan,0.1577,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,0.919,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0046,nan,nan,0.001,nan,nan,0.0,nan,0.22899999999999998,nan,nan,0.0,nan,nan,nan,0.017 ,nan,0.0,0.597,0.231,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,nan,0.0,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,0.0,nan,nan,nan,0.041 ,nan,0.889,0.287,0.40399999999999997,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.005,nan,0.0,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.02,0.695,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01,nan,nan,nan,nan,nan,0.11900000000000001,nan,0.0,nan,nan,0.0,nan,nan,nan,0.000 ,nan,0.0,0.046,0.004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.03,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.04,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.37,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,0.0,nan,nan,nan,0.006 ,nan,0.08199999999999999,0.147,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.10099999999999999,nan,0.03,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.02,0.063,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,0.0,nan,nan,nan,0.869 ,nan,0.003,0.019,0.98,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004,nan,0.03,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.01,0.004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.06,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,0.0,nan,nan,nan,0.030 ,nan,0.31,0.18600000000000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.03,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.02,0.08900000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,0.585,nan,nan,nan,0.000 ,nan,0.0,0.285,0.09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04,nan,0.0,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.01,0.10400000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.54,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,0.0,nan,nan,nan,0.000 ,nan,0.0,0.139,0.218,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.044000000000000004,nan,0.0,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0888,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,0.0,nan,nan,nan,0.476 ,nan,0.0,0.021,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.035,nan,0.04,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,0.0,nan,nan,nan,0.423 ,nan,0.489,0.034,0.001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002,nan,0.04,nan,nan,nan,nan,nan,nan,nan
